Issuer Company,Listing Date,Issue Price,Lot Size,Issue Price (Rs Cr),P/E Ratio,QIB,NII,RII,EMP,TOTAL,Open Price,Low Price,High Price,Close Price,% Change
Bohra Industries Limited,4/5/17,55,2000,25.15,,,,,,,56.2,55.5,58.4,57.85,5.18
Relstruct Buildcon Ltd,4/5/17,50,3000,23.36,,,,,,,50,46,50,46.75,-6.5
Shankara Building Products Ltd,4/5/17,460,32,345,,51.62,90.68,15.35,,41.88,545,545,638,632.8,37.57
Octaware Technologies Ltd,4/3/17,90,1600,8.6,14,,,,,,91,90.1,93,90.55,0.61
Prime Customer Services Ltd,3/31/17,60,2000,7.28,,,,,,,169,169,169,169,181.67
Oceanic Foods Limited,3/31/17,65,2000,6.5,,,,,,,65,64,66.8,65.2,0.31
Euro India Fresh Foods Ltd,3/31/17,78,1600,51.26,,,,,,,82.4,82.4,92.75,89.85,15.19
Laxmi Cotspin Limited,3/31/17,20,6000,9.6,,,,,,,21,19.5,21.35,19.9,-0.5
CL Educate Ltd,3/31/17,502,29,238.95,,3.65,0.21,1.63,,1.9,398,398,417.9,417.9,-16.75
Maximus International Ltd,3/30/17,25,6000,3.77,,,,,,,23,23,25.55,25.1,0.4
Manas Properties Ltd,3/30/17,360,300,39.96,,,,,,,360.55,360,364.9,360.2,0.06
Chemcrux Enterprises Ltd,3/28/17,18,8000,2.4,,,,,,,21.6,21.6,21.6,21.6,20
Manomay Tex India Ltd,3/28/17,30,4000,11.41,,,,,,,32.4,30,32.4,31.95,6.5
Jash Dealmark Ltd,3/27/17,40,3000,5.4,,,,,,,39.8,38.05,40.1,38.05,-4.88
Sarthak Metals Ltd,3/27/17,30,4000,10.91,,,,,,,29.45,27.7,31.4,30.75,2.5
Airan Ltd,3/24/17,45,3000,14.85,,,,,,,54,51.35,54,53.85,19.67
IFL Enterprises Ltd,3/21/17,20,6000,3.25,,,,,,,19.8,16.6,20.05,20.05,0.25
Avenue Supermarts Limited,3/21/17,299,50,1870,,144.61,277.74,7.3,,104.48,604.4,558.75,650,640.75,114.3
Music Broadcast Ltd,3/17/17,333,45,488.53,,39.78,109.13,9.85,,39.67,420,368,420,373.15,12.06
Akash Infra Projects Ltd,3/15/17,125,1000,25.5,,,,,,,124.5,124.5,131.6,128.15,2.52
RMC Switchgears Limited,3/14/17,27,4000,4.15,,,,,,,29.5,29,32.4,32.4,20
Sanginita Chemicals Limited,3/10/17,22,6000,10.05,,,,,,,23,22.5,23.45,22.9,4.09
Nitiraj Engineers Ltd,3/9/17,100,1200,22.01,,,,,,,97,87,97.1,94.5,-5.5
Tanvi Foods (India) Ltd,3/2/17,60,2000,6.6,,,,,,,65,60.1,65,60.25,0.42
Global Education Ltd,3/2/17,150,1000,10.25,,,,,,,180,180,180,180,20
Krishana Phoschem Limited,2/27/17,30,4000,19.73,,,,,,,36,34,36,36,20
Steel City Securities Ltd,2/17/17,55,2000,26.99,,,,,,,55,49.4,56,50.1,-8.91
Madhav Copper Limited,2/6/17,81,1600,4.48,,,,,,,90.5,85,97.2,93.8,15.8
BSE Limited,2/3/17,806,18,1243.43,,48.64,159.03,6.48,,51.22,1085,1065.1,1200,1069.2,32.66
Super Fine Knitters Ltd,2/2/17,12,,4.08,,,,,,,12.6,12.6,12.6,12.6,5
Maheshwari Logistics Limited,1/16/17,68,2000,27.17,,,,,,,71.8,70.4,78.9,76.35,12.28
Prolife Industries Limited,1/9/17,38,3000,4.22,,,,,,,42,35.5,42,37.1,-2.37
Libas Designs Limited,1/9/17,68,2000,13.6,,,,,,,78.25,61,81.5,71.4,5
Veeram Ornaments Ltd,1/5/17,45,3000,5.12,,,,,,,42.75,42.75,46,46,2.22
Laurus Labs Ltd,12/19/16,428,35,1331.8,,10.54,3.57,1.58,1.71,4.53,490,475,498,480.5,12.27
Majestic Research Services & Solutions Ltd,12/14/16,114,,9.99,,,,,,,140,139.9,149.9,144.55,26.8
Aditya Vision Ltd,12/12/16,15,8000,5.76,,,,,,,15.5,15,15.99,15.27,1.8
Sheela Foam Ltd,12/9/16,730,20,510,,14.51,3.35,0.44,,5.09,860,860,1032,1032,41.37
Jet Freight Logistics Ltd,12/6/16,28,4000,4.07,,,,,,,33.6,33.6,33.6,33.6,20
Agro Phos India Ltd,11/16/16,22,6000,12.94,,,,,,,26.4,22.1,26.4,22.85,3.86
Varun Beverages Ltd,11/8/16,445,33,1112.5,,4.94,0.42,0.82,0.05,1.86,430,417.1,471,461.9,3.8
PNB Housing Finance Ltd,11/7/16,775,19,3000.75,,37.33,86.17,1.32,0.46,29.53,863,860.05,902.95,890.6,14.92
Globe International Carriers Limited,10/19/16,24,6000,5.17,,,,,,,24.5,24.3,25.2,24.95,3.96
Art Nirman Ltd,10/19/16,25,6000,5.01,,,,,,,27.55,27.5,30,30,20
Endurance Technologies Ltd,10/19/16,472,30,1161.73,,53.43,127.07,2.69,,43.84,570,570,655,647.7,37.22
Dhanuka Realty Limited,10/18/16,40,3000,4.22,,,,,,,43,38.8,43,41.25,3.13
Pansari Developers Limited,10/18/16,22,6000,10.19,,,,,,,22,21,24.5,22.9,4.09
India Green Reality Ltd,10/18/16,30,4000,10.38,,,,,,,31.5,30.05,31.5,30.15,0.5
Diksat Transworld Ltd,10/18/16,40,3000,18.43,,,,,,,40.75,40.5,41.5,41,2.5
Aurangabad Distillery Limited,10/17/16,35,4000,7.7,,,,,,,42,42,42,42,20
Bindal Exports Ltd,10/17/16,16,8000,2,,,,,,,17,16.2,17,16.2,1.25
Aditya Consumer Marketing Ltd,10/17/16,15,8000,6,,,,,,,15.7,15.7,16.5,16.5,10
Mewar Hi-Tech Engineering Ltd,10/17/16,22,6000,2.34,,,,,,,26.4,26.4,26.4,26.4,20
Shashijit Infraprojects Ltd,10/17/16,15,8000,3.49,,,,,,,15.85,15.1,15.85,15.25,1.67
Valiant Organics Ltd,10/14/16,220,600,21.23,,,,,,,264,264,264,264,20
Gretex Industries Ltd,10/14/16,20,6000,2.1,,,,,,,24,22.25,24,24,20
Sakar Healthcare Limited,10/14/16,50,3000,14.81,,,,,,,52.8,51,54.95,52.15,4.3
DRA Consultants Ltd,10/13/16,10,10000,2.96,,,,,,,12,12,12,12,20
Nandani Creation Ltd,10/10/16,28,4000,4.04,,,,,,,33.6,31,33.6,33.6,20
Jet Knitwears Limited,10/7/16,39,3000,4.22,,,,,,,46.8,46.8,46.8,46.8,20
AVSL Industries Limited,10/6/16,36,3000,5.18,,,,,,,38,36,38,36,0
HPL Electric & Power Ltd,10/4/16,202,70,361,,5.77,22.2,3.31,,8.06,190.05,184.3,198,189.05,-6.41
ICICI Prudential Life Insurance Company Ltd,9/29/16,334,44,6056.79,,11.83,28.55,1.42,,10.48,329,295.5,333.9,297.65,-10.88
Radhika Jeweltech Ltd,9/27/16,75,1600,49.5,,,,,,,73.95,66,73.95,71,-5.33
Husys Consulting Ltd,9/27/16,69,2000,4.2,,,,,,,72.9,60,72.9,60.6,-12.17
Crown Lifters Limited,9/27/16,121,1000,6.68,,,,,,,122.8,107,122.8,109,-9.92
G N A Axles Ltd,9/26/16,207,70,130.41,,17.18,217.47,11.84,0.31,54.88,248.5,242.2,260,245.15,18.43
L&T Technology Services Ltd,9/23/16,860,16,894.4,,5.01,1.03,1.74,,2.52,900,860,931,865.1,0.59
Spicy Entertainment & Media Ltd,9/15/16,10,10000,4.82,,,,,,,9.99,9.63,10.95,9.7,-3
Narayani Steels Ltd,9/14/16,32,4000,11.52,,,,,,,33.45,30.9,38.4,33.4,4.38
Riddhi Steel & Tube Ltd,9/14/16,38,3000,8.89,,,,,,,37.7,37.5,38.5,37.65,-0.92
Sprayking Agro Equipment Ltd,9/14/16,21,6000,1.86,,,,,,,24,21.75,24,21.8,3.81
Mitsu Chem Plast Ltd,9/9/16,95,1200,9.51,,,,,,,96,95.2,96.4,96.2,1.26
Madhya Bharat Agro Products Ltd,9/9/16,24,6000,13.9,,,,,,,27,26,28.8,28.8,20
Shiva Granito Export Ltd,9/6/16,12,10000,5.04,,,,,,,13.95,11.45,14.4,12.03,0.25
RBL Bank Ltd,8/31/16,225,65,1212.97,,85.08,198.06,5.7,,69.62,273.7,273.7,305,299.3,33.02
S P Apparels Ltd,8/12/16,268,55,239.12,,2.21,5.1,1.9,,2.66,305,289.75,305,295,10.07
Dilip Buildcon Ltd,8/11/16,219,65,653.98,,9.76,79.64,2.35,,20.95,240,239.25,255,251.95,15.05
Prabhat Telecoms (India) Ltd,8/3/16,51,2000,11.22,,,,,,,61.2,61.2,61.2,61.2,20
Advanced Enzyme Technologies Ltd,8/1/16,896,16,411.49,,94.03,393.1,11.67,1.73,116.02,1210,1168.55,1242.75,1178.3,31.51
L&T Infotech Ltd,7/21/16,710,20,1236,,19.91,10.76,7.39,,11.69,666.6,666.6,710,697.65,-1.74
Kwality Pharmaceuticals Ltd,7/18/16,45,3000,6.21,,,,,,,45,43,45.8,44.5,-1.11
KKV Agro Powers Ltd,7/14/16,320,,3.58,,,,,,,325,325,342,342,6.88
Commercial Syn Bags Ltd,7/14/16,24,6000,7.66,,,,,,,28.8,28.8,28.8,28.8,20
Titaanium Ten Enterprise Ltd,7/14/16,15,8000,2.72,,,,,,,16,15.3,18,16.9,12.67
Quess Corp Ltd,7/12/16,317,45,400,,59.02,392.21,31.23,,143.99,499,480.05,508.6,503,58.68
Advance Syntex Ltd,7/12/16,12,10000,2.52,,,,,,,13.25,12.75,14.2,12.91,7.58
United Polyfab Gujarat Ltd,7/7/16,45,3000,7.65,,,,,,,42.5,42.5,44,44,-2.22
Zeal Aqua Ltd,7/7/16,130,1000,14.76,,,,,,,133,131.3,138,134.6,3.54
Mahanagar Gas Limited,7/1/16,421,35,1039.64,,72.84,191.61,6.82,1.18,64.54,540,517.8,549.15,519.9,23.49
Yash Chemex Ltd,6/20/16,23,6000,2.51,,,,,,,23.85,23.05,26,24.6,6.96
Shanti Educational Initiatives Ltd,6/14/16,90,1600,39.6,,,,,,,90,87.5,92,91,1.11
Darshan Orna Limited,5/19/16,60,2000,7.54,,,,,,,60.8,60.8,61.9,61,1.67
Parag Milk Foods Ltd,5/19/16,215,65,751.78,,1.15,3.08,2.12,1.02,1.83,215.7,215.7,250,247.8,15.26
Sagardeep Alloys Ltd,5/17/16,20,6000,6,,,,,,,20,19,20,19,-5
Ujjivan Financial Services Ltd,5/10/16,210,70,887.69,,33.84,135.45,4.02,,40.68,227,217.05,244,231.6,10.29
Bajaj Healthcare Ltd,5/10/16,170,800,30.9,,,,,,,170,170,173,171.5,0.88
Thyrocare Technologies Ltd,5/9/16,446,33,479.21,,73.18,225.3,8.73,,73.55,662,606,665.4,618.1,38.59
Ghushine Fintrrade Ocean Ltd,5/5/16,10,10000,2.6,,,,,,,9,8,9.5,8,-20
Equitas Holdings Limited,4/21/16,110,135,2175,,14.93,57.29,1.4,0.89,17.21,144,134.15,147,135.25,22.95
Nintec Systems Ltd,4/18/16,10,10000,1.88,,,,,,,11.7,11.12,12,11.4,14
Franklin Leasing and Finance Ltd,4/13/16,15,8000,6.34,,,,,,,15.1,15.05,15.2,15.05,0.33
Raghav Ramming Mass Ltd,4/13/16,39,3000,7.49,,,,,,,41,40,41,40.05,2.69
Ruby Cables Ltd,4/13/16,50,3000,10.01,,,,,,,50.9,49.2,50.9,50,0
Sysco Industries Ltd,4/13/16,10,10000,2.17,,,,,,,12,12,12,12,20
Lancer Container Lines Ltd,4/13/16,12,10000,1.85,,,,,,,12.6,12.6,12.6,12.6,5
Infibeam Incorporation Ltd,4/4/16,432,34,450,,0.86,2.23,1.31,,1.11,458,439.9,466.9,445.7,3.17
Bharat Wire Ropes Ltd,4/1/16,45,300,70,,1.01,2.02,2.08,0.1,1.21,47.35,45,47.5,45.4,0.89
CHD Chemicals Ltd,4/1/16,11,10000,1.98,,,,,,,9.2,8.8,10.5,8.8,-20
Umiya Tubes Ltd,4/1/16,10,10000,2,,,,,,,10.5,10,10.6,10.45,4.5
HEC Infra Projects Ltd,3/30/16,100,1200,5.39,,,,,,,102,90,109,97.9,-2.1
Wealth First Portfolio Managers Ltd,3/30/16,50,3000,8.4,,,,,,,52,45,52,51.5,3
Khemani Distributors & Marketing Ltd,3/30/16,100,1200,15.84,,,,,,,105,101,105,101,1
Healthcare Global Enterprises Ltd,3/30/16,218,65,649.64,,2.36,0.43,0.83,,1.56,209.8,169,211,170.95,-21.58
Relicab Cable Manufacturing Ltd,3/22/16,20,6000,0.32,,,,,,,20,20,20.5,20.35,1.75
K.P. Energy Ltd,2/25/16,70,2000,6.44,,,,,,,72,70,72,70.95,1.36
Hi-Tech Pipes Ltd,2/25/16,50,3000,13.65,,,,,,,,,,,
Sylph Education Solutions Ltd,2/23/16,12,10000,4.8,,,,,,,11.7,11.4,11.7,11.4,-5
Ganga Pharmaceuticals Ltd,2/22/16,15,8000,1.54,,,,,,,14.5,14.5,14.5,14.5,-3.33
Quick Heal Technologies Ltd,2/18/16,321,45,451.25,,4.34,36.69,3.82,0.23,10.8,304.95,246,329.95,254.45,-20.73
Vidli Restaurants Ltd,2/15/16,10,10000,1.31,,,,,,,12,12,12,12,20
TeamLease Services Ltd,2/12/16,850,15,423.68,,26.97,185.24,10.61,1.39,66.02,860,805.9,1032,1021.95,20.23
Blueblood Ventures Ltd,2/8/16,50,3000,7.04,,,,,,,51,44,51,45.05,-9.9
Precision Camshafts Ltd,2/8/16,186,80,410,,2.62,0.73,2.01,,1.91,163.1,155,184.7,177.25,-4.7
Fourth Dimension Solutions Ltd,1/22/16,30,4000,8.68,,,,,,,31.8,31.8,36,36,20
OFS Technologies Ltd,1/14/16,25,6000,4.25,,,,,,,26.75,25.45,28.05,27.35,9.4
Narayana Hrudayalaya Ltd,1/6/16,250,60,613.08,,24.43,3.62,1.89,,8.7,291,291,344.2,336.7,34.68
Suncare Traders Ltd,12/29/15,64,1600,24.22,,,,,,,64.7,63.65,64.7,64.4,0.63
Alkem Laboratories Limited,12/23/15,1050,14,1349.61,,57.19,129.96,3.17,0.67,44.29,1380,1355.4,1410,1381.45,31.57
Dr. Lal PathLabs Limited,12/23/15,550,20,638,,63.56,61.28,4.24,,33.41,717,715.5,842.4,824.15,49.85
Navigant Corporate Advisors Ltd,12/18/15,14,10000,1.19,,,,,,,14.15,13.5,14.35,13.78,-1.57
Perfect Infraengineers Ltd,11/20/15,23,6000,6,,,,,,,26,23.6,26,25.1,9.13
S H Kelkar & Company Ltd,11/16/15,180,80,508.17,,25.55,87.38,1.98,,27,222,199.6,222.7,207.3,15.17
InterGlobe Aviation Ltd,11/10/15,765,15,3018.24,,17.8,3.57,0.92,0.13,6.15,856,848.1,898,878.45,14.83
Coffee Day Enterprises Ltd,11/2/15,328,45,1150,,4.39,0.54,0.9,0.86,1.82,313,266,318,270.15,-17.64
Tejnaksh Healthcare Ltd,10/27/15,80,1600,2.43,,,,,,,80,76,80,76,-5
Cawasji Behramji Catering Services Ltd,10/19/15,14,10000,1.86,,,,,,,15.25,15.05,16.01,16.01,14.36
Patdiam Jewellery Ltd,10/16/15,38,3000,5,,,,,,,58.25,58.25,58.25,58.25,53.29
Vaksons Automobiles Limited,10/16/15,26,4000,6.24,,,,,,,26.25,26.25,27,27,3.85
Vishal Bearings Ltd,10/15/15,25,6000,3.24,,,,,,,26,26,27.3,27.3,9.2
Bella Casa Fashion & Retail Limited,10/15/15,14,10000,3.43,,,,,,,14.3,14.25,14.75,14.7,5
Ahimsa Industries Ltd,10/15/15,25,6000,3.8,,,,,,,26,26,26,26,4
Sri Krishna Constructions (India) Ltd,10/1/15,45,3000,11.34,,,,,,,39.9,38.05,41.85,41.85,-7
Shaival Reality Ltd,10/1/15,100,1200,5.28,,,,,,,100.5,100.5,100.5,100.5,0.5
P. B. Films Limited,9/22/15,10,,5,,,,,,,9.5,9.5,9.5,9.5,-5
Prabhat Dairy Limited,9/21/15,115,102,356.19,,0.88,1.42,0.34,,0.77,115,112.4,120,116.35,1.17
Sadbhav Infrastructure Project Limited,9/16/15,103,145,491.66,,3.04,1.66,1.69,0.29,2.24,110.75,106,112.25,106.15,3.06
H.K. Trade International Limited,9/14/15,18,,2.29,,,,,,,18.45,18,18.45,18.3,1.67
Shree Pushkar Chemicals and Fertilisers Ltd,9/10/15,65,200,70,,0.97,2.09,1.54,,1.34,60,60,63,63,-3.08
Pennar Engineered Building Systems Ltd,9/10/15,178,80,156.19,,2.2,1.44,0.41,,1.15,150,150,157.5,157.5,-11.52
Navkar Corporation Limited,9/9/15,155,95,600,,6.47,0.9,1.62,,2.85,152,152,168.4,166.4,7.35
Universal Autofoundry Limited,9/4/15,15,8000,3.24,,,,,,,16,15.6,16.8,16,6.67
Oyeeee Media Ltd,9/2/15,40,3000,15.9,,,,,,,45,45,47.25,45,12.5
Emkay Taps and Cutting Tools Limited,8/31/15,330,400,15.55,,,,,,,334,332,335.5,333.05,0.92
Power Mech Projects Ltd,8/26/15,640,20,273.22,,27.53,133.22,3.42,,38.12,600,580,663.1,585.75,-8.48
Mangalam Seeds Limited,8/12/15,50,3000,5.7,,,,,,,55,55,57.75,57.75,15.5
Pecos Hotels and Pubs Ltd,8/11/15,50,3000,2.3,,,,,,,56,53.25,56,53.25,6.5
Syngene International Ltd,8/11/15,250,60,550,,51.47,90.24,4.78,,32.05,295,295,318.2,310.4,24.16
Amrapali Fincap Ltd,8/5/15,120,1200,42.48,,,,,,,122.3,120.1,122.3,121,0.83
Gala Print City Ltd,7/16/15,24,6000,3.04,,,,,,,24.45,23.25,24.45,24.1,0.42
Jiya Eco Products Ltd,7/16/15,19,6000,4.58,,,,,,,21.75,21,22,21,10.53
Loyal Equipments Ltd,7/16/15,18,8000,3.24,,,,,,,20.05,20.05,21.05,21.05,16.94
MRSS India,7/16/15,12.75,10000,1.43,,,,,,,14,14,14.7,14.7,15.29
M D Inducto Cast Ltd,7/16/15,27,4000,17.24,,,,,,,28.1,27.85,29.5,29.5,9.26
Ambition Mica Ltd,7/14/15,40,3000,4.3,,,,,,,45,45,47,45.15,12.88
VMV Holidays Ltd,7/14/15,10,10000,1.56,,,,,,,10.25,10.25,10.5,10.5,5
Mishka Exim Ltd,7/13/15,10,10000,5.45,,,,,,,14,13.5,14.7,13.5,35
Junction Fabrics and Apparels Ltd,7/10/15,16,8000,1.6,,,,,,,17.5,17.05,18.35,17.3,8.13
Manpasand Beverages Ltd,7/9/15,320,45,400,,1.98,0.38,1.16,,1.4,291,286,341.9,326.85,2.14
Funny Software Ltd,6/2/15,14,10000,4.59,350,,,,,,13.5,13.5,13.5,13.5,-3.57
PNC Infratech Limited,5/26/15,378,35,488.44,,4.51,0.65,0.28,1.11,1.56,381,346.3,387.8,360.2,-4.71
UFO Moviez Ltd,5/14/15,625,24,600,,4.49,1.17,1.02,,2.04,600,586,623,598.8,-4.19
MEP Infrastructure Developers Ltd,5/6/15,63,225,324,,1.02,1.51,0.97,,1.11,63,55.45,63.5,60.95,-3.25
VRL Logistics Ltd,4/30/15,205,65,473.88,,58.22,250.86,7.92,,74.26,288,281,309.1,293.3,43.07
O P Chains Ltd,4/22/15,11,10000,2.04,,,,,,,11.25,11.25,11.81,11.81,7.36
Athena Constructions Ltd,4/16/15,10,10000,2.5,,,,,,,15.71,15.05,16.4,15.4,54
Yogya Enterprises Ltd,4/15/15,15,8000,1.5,,,,,,,14.25,14.25,14.25,14.25,-5
Filtra Consultants and Engineers Ltd,4/15/15,42,3000,3.11,,,,,,,42.8,42.8,44.9,44.9,6.9
Inox Wind Limited,4/9/15,325,45,1020.52,,35.68,35.38,2.15,0.12,18.6,400,399.15,447.8,438,34.77
Adlabs Entertainment Ltd,4/6/15,180,65,365.87,,0.4,0.11,1.1,,0.44,167.95,156.4,199,191.25,6.25
Supreme (India) Impex Ltd,3/31/15,60,2000,7.87,,,,,,,62,61,62,61.3,2.17
AGI Infra Ltd,3/27/15,54,2000,14.99,,,,,,,54.4,54.05,54.75,54.65,1.2
Mahabir Metallex Ltd,3/27/15,10,10000,3.9,,,,,,,10.3,9.79,10.3,10.1,1
Akme Star Housing Finance Ltd,3/20/15,30,4000,4.8,,,,,,,32,31.5,32,31.75,5.83
Ortel Communications Ltd,3/19/15,181,75,66.11,,1,0.09,0.39,,0.76,181,171.95,181,171.95,-5
SSPN Finance Ltd,3/16/15,20,6000,1.5,,,,,,,15,14.25,15,14.4,-28
Karnavati Finance Ltd,2/5/15,10,10000,2.58,,,,,,,10.6,10.1,10.6,10.1,1
Raghuvansh Agrofarms Ltd,1/28/15,11,10000,3.96,,,,,,,11.55,11.55,11.55,11.55,5
Amsons Apparels Ltd,1/6/15,10,10000,3.25,,,,,,,7.83,7.83,7.84,7.84,-21.6
Monte Carlo Fashions Limited,12/19/14,645,23,350.43,,13.96,1.71,6.96,,7.83,585,528.15,632.45,566.4,-12.19
Anubhav Infrastructure Ltd,12/12/14,15,8000,9,,,,,,,14.85,14.15,15.1,14.15,-5.67
Captain Pipes Ltd,12/11/14,40,3000,4.4,,,,,,,41.9,39.85,41.9,39.85,-0.37
Aanchal Ispat Ltd,12/10/14,20,6000,16,,,,,,,22.1,21,22.9,21,5
Jet Infraventure Limited,11/25/14,125,1000,4.5,,,,,,,130,126.5,133.9,129.1,3.28
JLA Infraville Shoppers Limited,11/12/14,10,10000,2,,,,,,,11.05,10.5,11.6,11.6,16
ADCC Infocad Limited,10/22/14,40,3000,9.6,,,,,,,43.5,43.5,45.65,45.65,14.13
Starlit Power Systems Limited,10/22/14,18,8000,2.95,,,,,,,18.1,18.1,18.95,18.95,5.28
Vibrant Global Capital Limited,10/21/14,19,6000,11.48,,,,,,,19.4,19.25,20.35,20,5.26
Powerhouse Fitness and Realty Ltd,10/21/14,30,4000,7.2,,,,,,,30,29,31.5,31.5,5
Aryaman Capital Markets Ltd,10/20/14,12,,4.31,,,,,,,12.2,12.05,12.5,12.4,3.33
Dhabriya Polywood Limited,10/17/14,15,8000,3.3,,,,,,,16.5,16.05,17,16.75,11.67
Atishay Infotech Limited,10/16/14,16,8000,3.71,6,,,,,,17.75,17,18.45,18.45,15.31
Momai Apparels Limited,10/16/14,78,1600,30,,,,,,,78,78,82,79.7,2.18
Ultracab India Ltd,10/10/14,36,3000,7.97,,,,,,,38,38,38.7,38.05,5.69
Shemaroo Entertainment Ltd,10/1/14,170,85,120,,5.69,8.64,7.79,,7.39,180,171,181,171,0.59
Encash Entertainment Ltd,9/29/14,40,3000,4.39,,,,,,,44,44,46.2,46.2,15.5
Naysaa Securities Ltd,9/25/14,15,8000,1.5,,,,,,,14.25,14.25,15.7,14.65,-2.33
Sirohia & Sons Ltd,9/24/14,12,10000,3.6,,,,,,,11.25,11.25,11.8,11.8,-1.67
Sharda Cropchem Ltd,9/23/14,156,90,351.86,,32.06,251.35,5.85,,59.97,254.1,225,273.85,231.45,48.37
Snowman Logistics Ltd,9/12/14,47,300,197.4,,16.98,221.79,41.26,,59.75,75,75,78.75,78.75,67.55
Wonderla Holidays Ltd,9/5/14,125,100,181.25,,16.71,159.04,7.55,,38.06,164.75,156.5,170,157.6,26.08
Vishal Fabrics Ltd,8/20/14,45,3000,15.63,,,,,,,45.2,44.05,46.9,46.9,4.22
Carewell Industries Ltd,8/12/14,15,8000,4.96,,,,,,,14.4,13.65,14.4,13.65,-9
Bhanderi Infracon Ltd,8/8/14,120,1200,6.48,,,,,,,113.5,107.85,115,107.85,-10.13
Bansal Roofing Products Ltd,7/14/14,30,4000,2.04,,,,,,,31,30,32,30.5,1.67
Oasis Tradelink Ltd,7/14/14,30,4000,6,,,,,,,35.9,34.1,35.9,34.1,13.67
Tarini International Ltd,6/26/14,41,,16.31,,,,,,,42,39.9,42,41.9,2.2
Dhanuka Commercial Ltd,6/11/14,10,10000,4.44,,,,,,,9.75,9.75,9.95,9.75,-2.5
SPS Finquest Ltd,6/3/14,75,1600,25.08,,,,,,,78,75.5,78,75.55,0.73
GCM Capital Advisors Ltd,5/21/14,20,6000,9,,,,,,,33.55,33.55,35.2,35.2,76
R & B Denims Ltd,4/22/14,10,10000,3.71,,,,,,,10.55,10.55,11.05,11.05,10.5
Women's Next Loungeries Ltd,4/21/14,65,2000,6.5,,,,,,,67,65,69.3,67.5,3.85
Oceanaa Biotek Industries Ltd,4/3/14,10,,2.1,,,,,,,9.75,9.3,10.2,10.1,1
Shri Krishna Prasadam Ltd,3/28/14,10,10000,2.16,,,,,,,11.9,11.9,12.45,12.45,24.5
Anisha Impex Ltd,3/18/14,10,10000,6.5,,,,,,,13.7,13.55,14.35,14.35,43.5
Karnimata Cold Storage Ltd,3/18/14,20,6000,3.04,,,,,,,29.05,27.6,30,30,50
B C Power Controls Ltd,3/14/14,18,8000,10.37,,,,,,,17.15,17.15,18.25,18.1,0.56
Sanco Industries Ltd,3/12/14,18,8000,4.32,,,,,,,226,185.05,226,190,955.56
SI VI Shipping Corporation Ltd,3/6/14,25,6000,6.86,,,,,,,26.1,26.1,26.1,26.1,4.4
Unishire Urban Infra Ltd,2/28/14,10,10000,6.43,,,,,,,12.05,11.45,12.05,11.45,14.5
Engineers India Limited,2/28/14,150,100,505.4,,3.93,0.23,2.48,0.22,2.83,149.4,148,150.6,149.9,-0.07
Polymac Thermoformers Ltd,2/26/14,35,4000,7.7,,,,,,,34.75,34.75,36,35.85,2.43
Agrimony Commodities Ltd,2/18/14,10,10000,3.02,,,,,,,15,14.35,15.75,14.35,43.5
Chemtech Industrial Valves Ltd,1/31/14,15,8000,7.43,,,,,,,14.7,14.25,15.3,14.95,-0.33
Suyog Telematics Ltd,1/22/14,25,6000,4.55,,,,,,,25.2,24.9,25.25,25.25,1
RCI Industries & Technologies Ltd,1/21/14,40,3000,11.52,,,,,,,41,38.05,41,38.05,-4.88
Tentiwal Wire Products Ltd,12/31/13,13,10000,2.12,,,,,,,12.5,11.9,12.5,11.9,-8.46
Power Grid Corporation of India,12/19/13,85.5,150,6958.64,,9.09,9.7,2.17,1.31,6.74,97.1,96.15,101,99.25,16.08
Captain Polyplast Ltd,12/11/13,30,4000,5.94,,,,,,,33,33,34.65,34.65,15.5
MITCON Consultancy & Engineering Services Ltd,11/1/13,61,2000,25.01,,,,,,,60,51.1,60,51.1,-16.23
Stellar Capital Services Ltd,11/1/13,20,6000,9,,,,,,,20.1,19.1,20.1,19.1,-4.5
Amrapali Capital and Finance Services Ltd,10/31/13,100,1200,25.78,,,,,,,100.6,100.6,101.35,101.1,1.1
S R G Securities Finance Ltd,10/29/13,20,6000,5.02,,,,,,,23.9,22.75,25.05,24.25,21.25
VCU Data Management Ltd,10/23/13,25,6000,18.75,,,,,,,36.25,36.25,36.25,36.25,45
Subh Tex India Limited,10/22/13,10,10000,3.5,,,,,,,12,12,12.6,12.6,26
Newever Trade Wings Ltd,10/17/13,10,10000,6.32,,,,,,,12.2,12.2,12.8,12.8,28
Satkar Finlease Limited,10/11/13,18,8000,13.51,,,,,,,19.9,19.9,20.85,20.85,15.83
Ace Tours Worldwide Ltd,9/26/13,16,8000,8,,,,,,,24.95,24.95,24.95,24.95,55.94
Tiger Logistics (India) Ltd,9/12/13,66,2000,7.52,,,,,,,69.2,69.1,69.2,69.1,4.7
Kushal Tradelink Ltd,9/4/13,35,4000,27.75,,,,,,,35,35,36,35.8,2.29
VKJ Infradevelopers Ltd,8/30/13,25,6000,12.75,,,,,,,23.8,23.8,26.25,23.8,-4.8
Silverpoint Infratech Ltd,8/28/13,15,8000,12,,,,,,,13,12.4,13.6,13.6,-9.33
Alacrity Securities Ltd,8/14/13,15,8000,9,,,,,,,12.65,12.05,13.25,12.05,-19.67
Money Masters Leasing & Finance Ltd,8/12/13,15,,2,,,,,,,16.25,16.25,17.05,17.05,13.67
Edynamics Solutions Ltd,6/26/13,25,6000,15.6,,,,,,,25.4,25.4,26.65,26.65,6.6
